index,NumEpreuve,NomEpreuve,DateEpr,HeureEpr,Lieu,TypeJA,NbJA
0,1,Open du Berry,2021/12/18,10:00,04180613,3,1
1,2,Tournoi des 500 points,2022/06/05,14:00,04180613,3,1
2,3,Individuels Corpos,,,,3,1
3,4,Finales Fédérales par classement,2022/02/27,9:00,04180613,3,1
4,5,Critérium Fédéral SM et SD J3,2022/01/28,20:00,04180613,2,1
5,6,Critérium Fédéral Jeunes J3,2022/01/29,14:00,04180613,2,1
6,7,Critérium Fédéral Régional J3,2022/01/30,,04180613,2,1
7,8,Coupe Mixte,2022/02/25,19:00,04180613,3,1
8,9,Interclubs Jeunes Bourges,2022/02/26,14:00,04180613,3,1
9,10,Critérium Fédéral SM et SD J4,2022/03/18,20:00,04180613,2,1
10,11,Critérium Fédéral Jeunes J4,2022/03/19,14:00,04180613,2,1
11,12,Coupe Nationale Vétérans,2022/04/02,,,3,1
12,13,Finale Trophée des jeunes,2022/06/26,,,3,1
13,14,Coupe du Cher,2022/04/23,,,3,1
14,15,Championnat du Cher,2022/04/24,8:00,04180613,3,2
15,16,Tournoi d'été du Comité 18,2022/06/11,,04180613,3,1
16,17,Trophée des Jeunes J2,2022/06/04,13:30,04180737,3,1
